game_ended,height,width,frame_num,score,num_balls,ball_coordinates,paddle_height,paddle_top_coordinate
False,39,75,0,0,1,"[(32, 10)]",10,"(1, 25)"
False,39,75,1,0,1,"[(34, 10)]",10,"(1, 25)"
False,39,75,2,0,1,"[(36, 10)]",10,"(1, 25)"
False,39,75,3,0,1,"[(37, 10)]",10,"(1, 25)"
False,39,75,4,0,1,"[(39, 10)]",10,"(1, 25)"
False,39,75,5,0,1,"[(41, 10)]",10,"(1, 25)"
False,39,75,6,0,1,"[(42, 10)]",10,"(1, 25)"
False,39,75,7,0,1,"[(44, 10)]",10,"(1, 25)"
False,39,75,8,0,1,"[(46, 10)]",10,"(1, 25)"
False,39,75,9,0,1,"[(48, 11)]",10,"(1, 25)"
False,39,75,10,0,1,"[(49, 11)]",10,"(1, 25)"
False,39,75,11,0,1,"[(51, 11)]",10,"(1, 25)"
False,39,75,12,0,1,"[(53, 11)]",10,"(1, 25)"
False,39,75,13,0,1,"[(54, 11)]",10,"(1, 25)"
False,39,75,14,0,1,"[(56, 12)]",10,"(1, 25)"
False,39,75,15,0,1,"[(58, 12)]",10,"(1, 25)"
False,39,75,16,0,1,"[(59, 12)]",10,"(1, 25)"
False,39,75,17,0,1,"[(61, 13)]",10,"(1, 25)"
False,39,75,18,0,1,"[(63, 13)]",10,"(1, 25)"
False,39,75,19,0,1,"[(65, 14)]",10,"(1, 25)"
False,39,75,20,0,1,"[(66, 14)]",10,"(1, 25)"
False,39,75,21,0,1,"[(68, 14)]",10,"(1, 25)"
False,39,75,22,0,1,"[(70, 15)]",10,"(1, 25)"
False,39,75,23,0,1,"[(71, 15)]",10,"(1, 25)"
False,39,75,24,0,1,"[(73, 16)]",10,"(1, 25)"
False,39,75,25,0,1,"[(74, 16)]",10,"(1, 25)"
False,39,75,26,0,1,"[(73, 17)]",10,"(1, 25)"
False,39,75,27,0,1,"[(71, 17)]",10,"(1, 25)"
False,39,75,28,0,1,"[(69, 18)]",10,"(1, 25)"
False,39,75,29,0,1,"[(68, 19)]",10,"(1, 25)"
False,39,75,30,0,1,"[(66, 19)]",10,"(1, 25)"
False,39,75,31,0,1,"[(64, 20)]",10,"(1, 25)"
False,39,75,32,0,1,"[(62, 20)]",10,"(1, 25)"
False,39,75,33,0,1,"[(61, 21)]",10,"(1, 25)"
False,39,75,34,0,1,"[(59, 22)]",10,"(1, 25)"
False,39,75,35,0,1,"[(57, 22)]",10,"(1, 25)"
False,39,75,36,0,1,"[(56, 23)]",10,"(1, 25)"
False,39,75,37,0,1,"[(54, 24)]",10,"(1, 25)"
False,39,75,38,0,1,"[(52, 25)]",10,"(1, 25)"
False,39,75,39,0,1,"[(51, 26)]",10,"(1, 25)"
False,39,75,40,0,1,"[(49, 26)]",10,"(1, 25)"
False,39,75,41,0,1,"[(47, 27)]",10,"(1, 25)"
True,39,75,42,0,4,PASS,PASS,PASS
